Input.url,Answer.asian_hate_crime,Answer.has_victim_race,Answer.offender_race,Answer.reference_hate,Answer.state,Answer.town,Answer.victim_race,Answer.year
https://www.forbes.com/sites/olliebarder/2016/10/15/kazuhiko-torishima-on-shaping-the-success-of-dragon-ball-and-the-origins-of-dragon-quest/,FALSE,FALSE,unknown,FALSE,unknown,unknown,unknown,unknown
https://www.pbs.org/newshour/arts/this-chinese-american-cartoonist-forces-us-to-face-racist-stereotypes,FALSE,FALSE,unknown,FALSE,unknown,unknown,unknown,unknown
https://www.dw.com/en/south-korea-celebrity-suicides-gender-inequality/a-56532739,FALSE,TRUE,unknown,FALSE,not_us,unknown,asian,unknown
https://www.theguardian.com/world/2015/aug/10/azerbaijani-journalist-rasim-aliyev-javid-huseynov,FALSE,TRUE,white,FALSE,not_us,uknown,white,2015
https://www.sundayguardianlive.com/opinion/mystery-behind-ghost-visits-dreams,FALSE,unsure,unknown,FALSE,unknown,unknown,unknown,unknown
https://gothamist.com/news/subway-rider-allegedly-assaults-and-spits-on-korean-woman-get-the-f-out-of-my-country,TRUE,TRUE,unknown,TRUE,NY,Coney Island,asian,2018
https://www.syfy.com/syfywire/how-annihilation-establishes-a-unique-brand-of-body-horror,FALSE,FALSE,unknown,FALSE,unknown,unknown,unknown,unknown
https://www.nbcnews.com/news/asian-america/editorial-i-walked-out-racist-audition-n538896,TRUE,TRUE,unknown,TRUE,CA,Los Angeles,asian,2016
https://www.fbi.gov/news/testimony/oversight-of-the-federal-bureau-of-investigation-7,FALSE,FALSE,unknown,FALSE,unknown,unknown,unknown,unknown
https://www.texastribune.org/2021/03/19/asian-texans-racism-atlanta/,FALSE,FALSE,unknown,FALSE,unknown,unknown,unknown,unknown
https://6abc.com/clovis-police-grandfather-attacked-home-depot-attack-parking-spot/5666440/,FALSE,FALSE,unknown,FALSE,unknown,unknown,unknown,unknown
https://montreal.ctvnews.ca/montreal-metro-attack-police-release-photos-description-of-suspect-1.4816717,FALSE,FALSE,white,FALSE,not_us,Montreal,unknown,2020
https://www.dailyrecord.co.uk/news/scottish-news/four-teens-arrested-after-alleged-22335806,FALSE,FALSE,unknown,FALSE,not_us,Edinburgh,unknown,2020
https://www.thestar.com.my/aseanplus/aseanplus-news/2020/09/20/typhoon-noul-kills-3-in-vietnam-and-cause-economic-losses-up-to-us175mil,FALSE,TRUE,unknown,FALSE,not_us,"unknown, central provinces and and cities in Vietnam",asian,2020
https://www.nytimes.com/2016/10/10/nyregion/to-the-woman-who-told-my-family-to-go-back-to-china.html,FALSE,FALSE,white,TRUE,NY,New York City,asian,2016
https://mexiconewsdaily.com/news/bodies-of-six-found-hanging-from-bridges/,FALSE,FALSE,unknown,FALSE,not_us,La Paz,unknown,2017
https://www.summitdaily.com/news/aspen-hedge-fund-manager-accused-of-rape-in-garden-of-farm-to-table-restaurant/,FALSE,FALSE,unknown,FALSE,not_us,Cabo San Lucas,unknown,2017
https://www.abc.net.au/news/2020-12-02/south-korean-teens-face-life-changing-exam-during-coronavirus/12934940,FALSE,FALSE,unknown,FALSE,not_us,Unknown,unknown,2020
https://www.wjhl.com/news/5-ole-miss-students-arrested-in-assault-on-sigma-pi-fraternity-member/,FALSE,FALSE,white,FALSE,MS,Oxford,unknown,2015
https://abc7news.com/grandmother-elder-abuse-san-francisco-visitacion-valley-neighborhood/5049856/,TRUE,TRUE,unknown,TRUE,CA,San Francisco,asian,2019
https://www.theguardian.com/uk-news/2021/mar/19/west-midlands-police-officer-attacked-woman-pc-oliver-banfield,FALSE,FALSE,unknown,FALSE,not_us,west midlands,unknown,2021
https://www.stereogum.com/1737855/diplo-under-fire-for-gif-theft-rude-tweets/news/,FALSE,FALSE,unknown,FALSE,unknown,unknown,unknown,2015
https://www.refinery29.com/en-us/2020/03/9600268/asian-hate-crime-coronavirus-increase-new-york-hotline,TRUE,FALSE,unknown,TRUE,NY,NYC,asian,2020
https://realnoevremya.com/articles/1470-facts-about-wannacry-virus,FALSE,FALSE,unknown,FALSE,not_us,unknown,unknown,unknown
https://www.newsweek.com/eight-good-reasons-we-all-including-trump-should-fear-putin-711409,FALSE,FALSE,unknown,FALSE,unknown,Unknown,unknown,unknown
https://www.kgw.com/article/news/purse-snatchers-targeting-elderly-asian-women-in-southeast-portland/283-98ecd8d6-ea19-4656-a607-c156843bf4d3,TRUE,TRUE,black,TRUE,OR,Portland,asian,2019
https://www.voanews.com/student-union/racist-attacks-syracuse-university-spark-controversy-fear,TRUE,TRUE,unknown,TRUE,NY,Syracuse,asian,2019
https://www.nytimes.com/interactive/2016/10/17/us/asian-american-confronting-racism.html,FALSE,FALSE,unknown,TRUE,unknown,unknown,unknown,2016
https://www.nytimes.com/2018/04/06/nyregion/new-rochelle-high-school-stabbing-integration.html,FALSE,FALSE,unknown,FALSE,NY,NYC,unknown,2018
https://www.freep.com/story/news/columnists/rochelle-riley/2016/02/06/dr-mona-hanna-attisha-goes-doctor-global-hero/79772514/,FALSE,FALSE,unknown,FALSE,unknown,unknown,unknown,unknown
https://sg.news.yahoo.com/shanmugam-surprised-by-outcome-of-molest-case-involving-nus-student-agc-to-appeal-verdict-060510237.html,FALSE,FALSE,unknown,FALSE,not_us,Singapore,asian,2019
https://www.thecity.nyc/2021/2/11/22279407/anti-asian-hate-crime-surge-fuels-demands-for-systemic-and-sensitive-responses,TRUE,TRUE,unknown,TRUE,NY,New York City,asian,2021
https://www.nbcboston.com/news/local/twitter-user-who-offered-500-for-killling-ice-agent-acquitted/2045538/,FALSE,FALSE,white,FALSE,MA,"Cambridge, Massachusetts",unknown,2019
https://www.nytimes.com/2017/05/19/us/politics/fcc-security-reporter.html,FALSE,FALSE,unknown,FALSE,DC,Washington,unknown,2017
https://www.ctvnews.ca/canada/small-plane-crashes-in-sask-passengers-and-pilot-survive-1.1218081,FALSE,FALSE,unknown,FALSE,not_us,Saskatchewan,unknown,2013
https://mashable.com/2012/06/20/pedobear-sandusky/,FALSE,FALSE,unknown,FALSE,unknown,unknown,unknown,unknown
https://www.nydailynews.com/news/crime/test-nj-mom-decapitated-toddler-pcp-article-1.1213195,FALSE,FALSE,black,FALSE,NJ,Camden,black,2012
https://www.ocregister.com/mission-viejo-caregiver-massage-therapist-charged-with-raping-1-patient-sexually-assaulting-2-clients,FALSE,FALSE,unknown,FALSE,CA,Mission Viejo,unknown,2019
https://www.abc.net.au/news/2011-02-02/mexico-complains-about-top-gear-insults/1926452,FALSE,FALSE,unknown,FALSE,unknown,unknown,unknown,unknown
https://www.bbc.com/news/uk-scotland-highlands-islands-43153998,FALSE,FALSE,unknown,FALSE,unknown,unknown,unknown,unknown
https://abc7.com/long-beach-drifting-formula-drift-race/3314287/,FALSE,unsure,unknown,FALSE,unknown,unknown,unknown,unknown
https://atlanta.sbnation.com/atlanta-hawks/2011/5/19/2179151/today-show-wake-forest-story-jeff-teague-sexual-assault,FALSE,FALSE,unknown,FALSE,FL,Miami,unknown,2009
https://www.forbes.com/sites/brucelee/2020/02/18/how-covid-19-coronavirus-is-uncovering-anti-asian-racism/,FALSE,FALSE,unknown,FALSE,unknown,unknown,unknown,unknown
https://www.dawn.com/news/1228528,FALSE,FALSE,unknown,FALSE,unknown,unknown,unknown,unknown
https://www.abqjournal.com/1461213/accused-rapist-back-in-jail-charged-with-2010-sex-assault.html,FALSE,FALSE,unknown,FALSE,NM,Albuquerque,unknown,2010
https://www.jamaicaobserver.com/latestnews/VPA_recommends_holistic_approach_to_policing,FALSE,FALSE,unknown,FALSE,unknown,Kingston,unknown,2020
https://latimesblogs.latimes.com/lanow/2012/08/slaughterhouse-gets-to-stay-in-rosemead.html,FALSE,FALSE,unknown,FALSE,CA,Rosemead,asian,2012
https://www.bbc.co.uk/news/uk-wales-south-east-wales-32841561,FALSE,FALSE,white,FALSE,not_us,Barry,white,2015
